sampleDate,sampleTime,Temperature
7/31/2017,18:00:00,72.997
7/31/2017,18:15:00,72.997
7/31/2017,18:30:00,72.955
7/31/2017,18:45:00,72.912
7/31/2017,19:00:00,72.826
7/31/2017,19:15:00,72.783
7/31/2017,19:30:00,72.739
7/31/2017,19:45:00,72.696
7/31/2017,20:00:00,72.653
7/31/2017,20:15:00,72.61
7/31/2017,20:30:00,72.567
7/31/2017,20:45:00,72.48
7/31/2017,21:00:00,72.437
7/31/2017,21:15:00,72.394
7/31/2017,21:30:00,72.351
7/31/2017,21:45:00,72.264
7/31/2017,22:00:00,72.221
7/31/2017,22:15:00,72.178
7/31/2017,22:30:00,72.093
7/31/2017,22:45:00,72.05
7/31/2017,23:00:00,72.007
7/31/2017,23:15:00,71.964
7/31/2017,23:30:00,71.92
7/31/2017,23:45:00,71.834
8/1/2017,0:00:00,71.791
8/1/2017,0:15:00,71.748
8/1/2017,0:30:00,71.661
8/1/2017,0:45:00,71.62
8/1/2017,1:00:00,71.577
8/1/2017,1:15:00,71.49
8/1/2017,1:30:00,71.447
8/1/2017,1:45:00,71.404
8/1/2017,2:00:00,71.317
8/1/2017,2:15:00,71.274
8/1/2017,2:30:00,71.19
8/1/2017,2:45:00,71.146
8/1/2017,3:00:00,71.06
8/1/2017,3:15:00,71.017
8/1/2017,3:30:00,70.974
8/1/2017,3:45:00,70.887
8/1/2017,4:00:00,70.846
8/1/2017,4:15:00,70.759
8/1/2017,4:30:00,70.716
8/1/2017,4:45:00,70.63
8/1/2017,5:00:00,70.587
8/1/2017,5:15:00,70.543
8/1/2017,5:30:00,70.459
8/1/2017,5:45:00,70.416
8/1/2017,6:00:00,70.372
8/1/2017,6:15:00,70.286
8/1/2017,6:30:00,70.243
8/1/2017,6:45:00,70.201
8/1/2017,7:00:00,70.115
8/1/2017,7:15:00,70.115
8/1/2017,7:30:00,70.029
8/1/2017,7:45:00,69.985
8/1/2017,8:00:00,69.942
8/1/2017,8:15:00,69.901
8/1/2017,8:30:00,69.858
8/1/2017,8:45:00,69.814
8/1/2017,9:00:00,69.685
8/1/2017,9:15:00,70.072
8/1/2017,9:30:00,70.201
8/1/2017,9:45:00,70.201
8/1/2017,10:00:00,70.243
8/1/2017,10:15:00,70.329
8/1/2017,10:30:00,70.502
8/1/2017,10:45:00,70.673
8/1/2017,11:00:00,70.759
8/1/2017,11:15:00,70.93
8/1/2017,11:30:00,71.146
8/1/2017,11:45:00,71.361
8/1/2017,12:00:00,71.661
8/1/2017,12:15:00,71.834
8/1/2017,12:30:00,71.964
8/1/2017,12:45:00,72.093
8/1/2017,13:00:00,72.178
8/1/2017,13:15:00,72.264
8/1/2017,13:30:00,72.351
8/1/2017,13:45:00,72.437
